fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,daily_return,ma_7,ma_30,volatility_14,cum_return,std_30,prediccion
2020-08-12,3.75,3.83,3.5,3.54,3.54,,-0.02209944751381221,3.817142857142857,2.7550000000000003,0.1257245157646602,0.5063829787233978,0.6639108269996369,3.5405000000000033
2020-08-13,3.42,3.75,3.05,3.61,3.61,,0.0197740112994349,3.8471428571428574,2.7973333333333334,0.1243143958555123,0.5361702127659507,0.6768992862151689,3.6099000000000068
2020-08-14,3.67,3.84,3.39,3.78,3.78,,0.047091412742382266,3.814285714285714,2.847,0.11694866096141378,0.6085106382978653,0.6928658625222626,3.7803999999999918
2020-08-17,3.95,4.41,3.77,4.15,4.15,,0.09788359788359813,3.8000000000000003,2.906,0.11822305740427116,0.7659574468085033,0.7262829314751694,4.149899999999997
2020-08-18,4.0,4.2,3.91,4.04,4.04,,-0.026506024096385583,3.8385714285714285,2.9643333333333333,0.11886661142950046,0.7191489361702055,0.7451344860488545,4.042300000000006
2020-08-19,3.87,4.06,3.63,3.69,3.69,,-0.0866336633663366,3.7757142857142862,3.002666666666667,0.11987973156166186,0.5702127659574403,0.7521002011993596,3.6912999999999982
2020-08-20,3.73,4.05,3.71,3.99,3.99,,0.08130081300813008,3.8285714285714287,3.0570000000000004,0.12057954371526947,0.6978723404255249,0.7628718426290879,3.9889000000000046
2020-08-21,3.82,3.94,3.67,3.72,3.72,,-0.06766917293233088,3.8542857142857136,3.1033333333333335,0.089818124148484,0.5829787234042487,0.7593978255642433,3.720300000000005
2020-08-24,3.78,3.79,3.52,3.63,3.63,,-0.024193548387096864,3.857142857142857,3.1516666666666664,0.08968829222618868,0.5446808510638232,0.7446039601504277,3.6308999999999987
2020-08-25,3.41,3.6,3.18,3.58,3.58,,-0.01377410468319551,3.8285714285714287,3.1959999999999997,0.07500960907891166,0.5234042553191427,0.728487332150589,3.580499999999999
2020-08-26,3.4,3.56,3.35,3.41,3.41,,-0.04748603351955305,3.722857142857143,3.2343333333333333,0.07329058493210959,0.45106382978722803,0.7074903841598091,3.410300000000003
2020-08-27,3.46,3.5,3.15,3.27,3.27,,-0.04105571847507339,3.6128571428571425,3.2693333333333334,0.06809056950599544,0.3914893617021218,0.6810586755490767,3.269799999999999
2020-08-28,3.23,3.65,3.21,3.59,3.59,,0.09785932721712531,3.5985714285714283,3.314666666666667,0.06836974496863356,0.5276595744680785,0.6542262254170342,3.5898999999999957
2020-08-31,3.66,3.7,3.35,3.5,3.5,,-0.02506963788300831,3.5285714285714285,3.3560000000000003,0.060120128578820424,0.4893617021276533,0.6237572472113703,3.5
2020-09-01,3.52,3.88,3.42,3.75,3.75,,0.0714285714285714,3.5328571428571425,3.4043333333333337,0.06270674077474607,0.5957446808510571,0.5946061190250558,3.747900000000001
2020-09-02,3.51,3.52,3.3,3.43,3.43,,-0.08533333333333326,3.5042857142857144,3.4406666666666665,0.06706193127875756,0.4595744680851004,0.5595991997566158,3.430600000000004
2020-09-03,3.1,3.29,3.06,3.16,3.16,,-0.07871720116618075,3.4442857142857144,3.469666666666667,0.06845264709954038,0.3446808510638242,0.5189809865190094,3.1600000000000024
2020-09-04,3.08,3.2,2.54,3.11,3.11,,-0.015822784810126667,3.4014285714285717,3.499333333333333,0.060926858869690154,0.3234042553191434,0.46801807608323986,3.1100000000000074
2020-09-08,2.84,3.02,2.63,2.82,2.82,,-0.09324758842443737,3.337142857142857,3.505333333333333,0.06411319206384504,0.19999999999999485,0.4576607185828391,2.818699999999996
2020-09-09,2.88,3.09,2.88,2.95,2.95,,0.04609929078014208,3.245714285714286,3.5113333333333334,0.06386595249446704,0.25531914893616503,0.4487817481490212,2.949299999999995
2020-09-10,3.01,3.2,2.78,2.81,2.81,,-0.0474576271186441,3.1471428571428572,3.5133333333333336,0.05810071921445723,0.19574468085105878,0.44539276222689705,2.8103000000000007
2020-09-11,2.87,2.97,2.75,2.91,2.91,,0.03558718861209975,3.027142857142857,3.5253333333333337,0.058569855249790366,0.23829787234042032,0.42282085008286263,2.9093999999999993
2020-09-14,3.07,3.12,2.87,3.02,3.02,,0.03780068728522323,2.9685714285714284,3.538,0.060206999421190295,0.28510638297871793,0.40048591175928755,3.0192
2020-09-15,3.11,3.13,2.95,3.0,3.0,,-0.0066225165562914245,2.9457142857142853,3.521333333333333,0.06021537686274597,0.2765957446808456,0.412350146936542,3.0000999999999998
2020-09-16,3.02,3.28,2.96,3.05,3.05,,0.016666666666666607,2.937142857142857,3.5096666666666665,0.05965209953573632,0.29787234042552635,0.4207668150461789,3.0488000000000057
2020-09-17,2.92,3.06,2.9,3.0,3.0,,-0.016393442622950727,2.962857142857143,3.476,0.058905537517798486,0.2765957446808458,0.41975855128840234,3.0000999999999998
2020-09-18,3.03,3.06,2.88,3.05,3.05,,0.016666666666666607,2.9771428571428573,3.436,0.051594090292654216,0.29787234042552657,0.40017754680384815,3.0487000000000055
2020-09-21,2.85,3.03,2.75,2.93,2.93,,-0.03934426229508181,2.994285714285714,3.408,0.05204715743781299,0.2468085106382929,0.40535552722111157,2.9302000000000046
2020-09-22,2.95,2.96,2.84,2.93,2.93,,0.0,2.9971428571428573,3.368,0.046517185379808874,0.2468085106382929,0.3905910640436814,2.9300000000000046
2020-09-23,2.9,2.92,2.6,2.6,2.6,,-0.11262798634812288,2.9371428571428573,3.334,0.05006366479346621,0.10638297872339986,0.4117213654391181,2.6002999999999967
2020-09-24,2.55,2.77,2.35,2.69,2.69,,0.03461538461538449,2.892857142857143,3.3056666666666668,0.04870223963516726,0.1446808510638251,0.42605393323312984,2.6897999999999986
2020-09-25,2.66,2.78,2.6,2.68,2.68,,-0.0037174721189590088,2.84,3.274666666666667,0.04870394108982493,0.14042553191488905,0.43684395804290727,2.6781000000000033
2020-09-28,2.79,2.81,2.66,2.74,2.74,,0.02238805970149249,2.802857142857143,3.24,0.04284866347676867,0.16595744680850588,0.43662498704354746,2.740100000000004
2020-09-29,2.7,2.78,2.66,2.76,2.76,,0.007299270072992581,2.761428571428571,3.1936666666666667,0.04076021805892317,0.174468085106378,0.4096464693921963,2.7586999999999966
2020-09-30,2.73,2.76,2.63,2.7,2.7,,-0.021739130434782483,2.7285714285714286,3.149,0.03919757010463341,0.14893617021276118,0.3865885275788813,2.7001999999999966
2020-10-01,2.71,2.74,2.62,2.65,2.65,,-0.0185185185185186,2.6885714285714286,3.1143333333333336,0.03783956383206327,0.1276595744680804,0.3830160105899646,2.648500000000001
2020-10-02,2.53,2.61,2.5,2.6,2.6,,-0.01886792452830177,2.6885714285714286,3.0679999999999996,0.035772097633933415,0.10638297872339986,0.3565969423744146,2.5998999999999968
2020-10-05,2.63,2.68,2.57,2.66,2.66,,0.023076923076922995,2.6842857142857146,3.0326666666666666,0.03685299091063263,0.1319148936170167,0.3419813801484718,2.6590999999999987
2020-10-06,2.66,2.67,2.53,2.57,2.57,,-0.03383458646616555,2.6685714285714286,2.997333333333333,0.03673556452122441,0.09361702127659122,0.3327724015972569,2.570199999999996
2020-10-07,2.57,2.66,2.55,2.66,2.66,,0.035019455252918386,2.6571428571428575,2.966666666666667,0.03872467709011194,0.1319148936170167,0.3193455952347569,2.6589999999999985
2020-10-08,2.77,3.09,2.72,2.93,2.93,,0.10150375939849621,2.6814285714285715,2.9506666666666663,0.04830516955277822,0.24680851063829268,0.3081975780678298,2.929100000000005
2020-10-09,3.15,3.15,2.96,3.1,3.1,,0.058020477815699634,2.738571428571429,2.945,0.04947380389021232,0.31914893617020734,0.3036530461138707,3.0998000000000006
2020-10-12,3.22,3.65,3.16,3.5,3.5,,0.12903225806451601,2.8600000000000003,2.9419999999999997,0.059446844659710535,0.4893617021276533,0.29744196768171516,3.5
2020-10-13,3.47,3.47,3.22,3.37,3.37,,-0.037142857142857144,2.9699999999999998,2.9376666666666664,0.04965579448509711,0.4340425531914833,0.2898832503802423,3.368400000000003
2020-10-14,3.33,3.49,3.21,3.28,3.28,,-0.02670623145400597,3.0585714285714287,2.9219999999999997,0.05093604034133597,0.39574468085105785,0.25507808135284143,3.2788999999999984
2020-10-15,3.18,3.47,3.08,3.4,3.4,,0.03658536585365857,3.1771428571428575,2.921,0.05091042869953358,0.44680851063829174,0.25306875173337423,3.400199999999997
2020-10-16,3.37,3.37,3.11,3.11,3.11,,-0.08529411764705885,3.2414285714285715,2.919333333333334,0.05789900222213447,0.3234042553191432,0.25160085156093387,3.1097000000000072
2020-10-19,3.32,3.55,3.25,3.3,3.3,,0.06109324758842449,3.294285714285714,2.925666666666667,0.059427744993867604,0.4042553191489302,0.25885268521712884,3.298900000000006
2020-10-20,3.45,3.77,3.41,3.54,3.54,,0.07272727272727275,3.357142857142857,2.9496666666666664,0.06035897436984669,0.506382978723398,0.28113665021194467,3.5402000000000045
2020-10-21,3.93,4.14,3.76,3.98,3.98,,0.12429378531073443,3.4257142857142853,2.984,0.06501939590706948,0.6936170212765886,0.33826739066402106,3.9824000000000037
2020-10-22,4.18,4.26,3.83,4.05,4.05,,0.017587939698492372,3.5228571428571427,3.025333333333333,0.06356537958838844,0.7234042553191415,0.3883273888357321,4.0483000000000064
2020-10-23,3.97,4.01,3.68,3.91,3.91,,-0.03456790123456788,3.6128571428571425,3.0586666666666664,0.06614194041752255,0.6638297872340355,0.41973500123864427,3.908500000000004
2020-10-26,3.98,4.03,3.61,3.85,3.85,,-0.01534526854219953,3.6771428571428575,3.0863333333333336,0.0649456550812424,0.6382978723404185,0.4437651082101927,3.8511000000000046
2020-10-27,4.03,4.16,3.86,4.02,4.02,,0.04415584415584406,3.807142857142857,3.1203333333333334,0.06503282565311327,0.7106382978723329,0.47490458811905306,4.016399999999996
2020-10-28,3.71,3.83,3.36,3.5,3.5,,-0.12935323383084563,3.835714285714286,3.1353333333333335,0.07458087019869938,0.4893617021276533,0.4796890755435623,3.5000999999999998
2020-10-29,3.5,3.73,3.44,3.55,3.55,,0.014285714285714235,3.837142857142857,3.1536666666666666,0.0735657141141141,0.5106382978723341,0.48482121364048936,3.5501000000000063
2020-10-30,3.48,3.54,3.18,3.27,3.27,,-0.07887323943661961,3.735714285714286,3.1610000000000005,0.06901970475197976,0.391489361702122,0.4848629383299488,3.269699999999999
2020-11-02,3.26,3.39,3.14,3.29,3.29,,0.006116207951070374,3.6271428571428572,3.173,0.06831961131419265,0.39999999999999436,0.48340138244750436,3.289300000000003
2020-11-03,3.35,3.59,3.3,3.5,3.5,,0.06382978723404253,3.5685714285714285,3.1919999999999997,0.06981690920063784,0.4893617021276535,0.4847210360187131,3.5
2020-11-04,3.59,3.73,3.38,3.55,3.55,,0.014285714285714235,3.525714285714286,3.2236666666666665,0.06934144174244347,0.5106382978723343,0.47565913130711096,3.5499000000000063
2020-11-05,3.83,3.98,3.66,3.75,3.75,,0.05633802816901423,3.487142857142857,3.259,0.06531392066811513,0.5957446808510576,0.4740169500829581,3.7481000000000004
2020-11-06,3.82,3.82,3.61,3.65,3.65,,-0.026666666666666727,3.5085714285714285,3.291333333333333,0.06480777478061077,0.553191489361696,0.46617839809562855,3.6487999999999965
2020-11-09,3.51,3.62,3.33,3.5,3.5,,-0.041095890410958846,3.5014285714285713,3.316666666666667,0.06334848750717625,0.48936170212765373,0.45571719401397537,3.5
2020-11-10,3.45,3.48,3.2,3.45,3.45,,-0.014285714285714235,3.5271428571428567,3.3396666666666666,0.05251342546229345,0.46808510638297296,0.4439127231197107,3.4498999999999937
2020-11-11,3.5,3.76,3.41,3.6,3.6,,0.04347826086956519,3.5714285714285716,3.369666666666667,0.05395142378935471,0.5319148936170153,0.42936587832720724,3.598600000000002
2020-11-12,3.77,3.81,3.54,3.7,3.7,,0.0277777777777779,3.6,3.4046666666666665,0.05407189376909038,0.574468085106377,0.4110854708795302,3.698799999999995
2020-11-13,3.77,4.12,3.6,3.98,3.98,,0.07567567567567557,3.6614285714285715,3.450666666666667,0.0577582860904274,0.6936170212765891,0.39482805802365,3.9819000000000035
2020-11-16,4.02,4.17,3.81,4.1,4.1,,0.03015075376884413,3.7114285714285713,3.4986666666666664,0.057126681875825966,0.7446808510638228,0.3827372677077328,4.097900000000004
2020-11-17,4.24,6.29,4.07,6.09,6.09,,0.4853658536585366,4.0600000000000005,3.616,0.13319233388508223,1.5914893617021173,0.5779786417725584,6.087099999999998
2020-11-18,6.39,6.44,5.05,5.25,5.25,,-0.13793103448275856,4.3100000000000005,3.7023333333333337,0.14198094693066965,1.2340425531914807,0.6220138779546948,5.2484
2020-11-19,5.46,6.0,5.41,6.0,6.0,,0.1428571428571428,4.674285714285714,3.804666666666667,0.1405394184145421,1.553191489361692,0.7331732322624486,6.0017999999999985
2020-11-20,6.17,6.56,5.83,5.99,5.99,,-0.0016666666666665941,5.015714285714286,3.9010000000000002,0.1407494741972962,1.5489361702127562,0.8218874409051754,5.992500000000004
2020-11-23,6.32,7.38,6.19,7.23,7.23,,0.20701168614357268,5.5200000000000005,4.025333333333333,0.14680231079391906,2.0765957446808394,1.0178941525264502,7.228700000000009
2020-11-24,7.59,7.6,6.46,6.81,6.81,,-0.05809128630705407,5.924285714285714,4.14,0.14983675800928717,1.8978723404255207,1.1291986783435521,6.807099999999992
2020-11-25,7.09,7.58,6.84,7.08,7.08,,0.0396475770925111,6.3500000000000005,4.266666666666667,0.1499032555286632,2.012765957446797,1.2373534976559155,7.080200000000001
2020-11-27,6.15,6.61,6.02,6.25,6.25,,-0.11723163841807915,6.372857142857143,4.361666666666666,0.1555536196397488,1.6595744680850961,1.2772818211244998,6.2499
2020-11-30,7.09,8.48,6.9,8.45,8.45,,0.35199999999999987,6.83,4.539666666666666,0.17263967047387263,2.5957446808510496,1.4563688509046941,8.46170000000001
2020-12-01,8.17,9.09,7.81,8.81,8.81,,0.04260355029585816,7.231428571428571,4.723333333333334,0.1709932823468882,2.748936170212752,1.6315453502386792,8.792799999999993
2020-12-02,8.42,8.54,7.8,8.51,8.51,,-0.034052213393870656,7.591428571428572,4.888999999999999,0.17353271812819446,2.6212765957446673,1.754909075157274,8.503899999999998
2020-12-03,8.81,10.14,8.5,9.66,9.66,,0.1351351351351351,7.938571428571429,5.078333333333333,0.17364347871589494,3.110638297872325,1.9491131198633334,9.63369999999999
2020-12-04,9.4,10.59,9.11,10.0,10.0,,0.035196687370600444,8.394285714285713,5.276666666666666,0.17411052707307167,3.255319148936154,2.1347491709774453,9.991300000000003
2020-12-07,9.54,11.29,9.5,10.63,10.63,,0.06300000000000017,8.901428571428571,5.500666666666666,0.17360664810152762,3.5234042553191323,2.330033199901679,10.613900000000008
2020-12-08,10.7,10.92,9.38,9.87,9.87,,-0.0714957666980246,9.418571428571429,5.701333333333333,0.13329630261812464,3.199999999999984,2.439622262074514,9.8959
2020-12-09,9.82,10.09,8.36,8.85,8.85,,-0.10334346504559266,9.475714285714286,5.862333333333333,0.12997114024858408,2.7659574468084966,2.4838133687085033,8.832000000000006
2020-12-10,8.47,9.59,8.46,9.34,9.34,,0.05536723163841817,9.551428571428572,6.0569999999999995,0.1269787405191028,2.9744680851063685,2.520859390954974,9.284600000000006
2020-12-11,9.0,9.27,8.44,8.66,8.66,,-0.0728051391862955,9.572857142857142,6.227333333333333,0.13011014189614112,2.68510638297871,2.5182601182143327,8.665799999999996
2020-12-14,9.26,9.89,8.9,9.14,9.14,,0.05542725173210172,9.498571428571427,6.423,0.12054077943010096,2.889361702127646,2.508582715674264,9.150499999999992
2020-12-15,9.25,10.3,9.1,10.18,10.18,,0.11378555798687073,9.524285714285714,6.652666666666667,0.1204040958896262,3.3319148936170055,2.527187251134985,10.16579999999999
2020-12-16,11.25,11.66,10.53,10.76,10.76,,0.056974459724950854,9.542857142857143,6.894666666666667,0.120541958104936,3.578723404255302,2.562242731688842,10.746799999999997
2020-12-17,11.65,11.85,10.28,10.4,10.4,,-0.03345724907063197,9.618571428571428,7.123,0.11423972009844922,3.4255319148936003,2.559121818663378,10.402799999999987
2020-12-18,9.95,10.59,9.65,10.05,10.05,,-0.033653846153846145,9.790000000000001,7.332999999999999,0.07285832608761236,3.2765957446808347,2.531125073545629,10.047799999999993
2020-12-21,9.89,11.32,9.75,11.04,11.04,,0.09850746268656696,10.032857142857143,7.579333333333334,0.07595909657208338,3.697872340425513,2.5199082267544375,11.0596
2020-12-22,11.92,15.7,11.63,14.65,14.65,,0.32699275362318847,10.888571428571428,7.951,0.11017962923501688,5.234042553191465,2.7124074432008456,14.652700000000012
2020-12-23,14.96,15.01,13.31,13.91,13.91,,-0.050511945392491486,11.569999999999999,8.299666666666667,0.10962688668068639,4.919148936170189,2.7851892566579033,13.900900000000012
2020-12-24,14.07,14.96,12.8,13.12,13.12,,-0.056793673616103546,11.99,8.616999999999999,0.11211224334498995,4.582978723404233,2.773574999141427,13.122599999999984
2020-12-28,15.45,17.43,14.71,15.65,15.65,,0.19283536585365857,12.688571428571427,9.015333333333334,0.12056177894755966,5.65957446808508,2.8983642632179856,15.638900000000021
2020-12-29,15.5,16.45,14.19,15.79,15.79,,0.008945686900958316,13.458571428571428,9.408999999999999,0.11700492913049286,5.7191489361701855,2.9914087904738818,15.798299999999989
2020-12-30,16.99,18.16,16.43,17.26,17.26,,0.0930968967701078,14.48857142857143,9.847666666666665,0.11008252791595123,6.344680851063801,3.1469039884692926,17.2432
2020-12-31,17.48,18.67,16.42,16.99,16.99,,-0.015643105446118355,15.338571428571429,10.211,0.11163510509778282,6.229787234042524,3.3224402643757314,16.963300000000007
2021-01-04,18.8,19.23,15.85,16.48,16.48,,-0.030017657445556067,15.6,10.585333333333333,0.10859300936388483,6.012765957446781,3.3764128417835937,16.514600000000005
2021-01-05,15.75,18.65,15.35,18.41,18.41,,0.11711165048543681,16.242857142857144,10.998999999999999,0.10998988199295773,6.834042553191458,3.550965240315831,18.355900000000023
2021-01-06,18.89,20.68,18.12,19.28,19.28,,0.047256925583921916,17.122857142857143,11.442,0.10874523574346223,7.2042553191489045,3.7290503552143623,19.29419999999998
2021-01-07,20.84,24.7,19.87,22.72,22.72,,0.17842323651452263,18.132857142857144,11.958333333333334,0.11393204927725487,8.66808510638294,4.171839157257049,22.718600000000002
2021-01-08,24.77,27.39,23.59,26.59,26.59,,0.1703345070422535,19.675714285714285,12.617666666666668,0.11406123931894031,10.31489361702123,4.839712647022272,26.534900000000004
2021-01-11,21.0,24.0,20.26,22.64,22.64,,-0.14855208725084612,20.444285714285712,13.136333333333333,0.12597476113987033,8.63404255319145,5.054778199256456,22.674700000000016
2021-01-12,23.28,24.91,22.08,24.21,24.21,,0.06934628975265023,21.475714285714286,13.734999999999998,0.12564673190518472,9.302127659574428,5.27003615115522,24.197500000000023
2021-01-13,23.65,25.08,22.52,23.88,23.88,,-0.01363073110285018,22.532857142857146,14.249333333333334,0.10157918629995744,9.161702127659533,5.485022826050863,23.882400000000047
2021-01-14,25.9,29.28,25.56,28.9,28.9,,0.210217755443886,24.031428571428567,14.919,0.1074108823127749,11.29787234042548,6.000232380557422,28.87020000000002
2021-01-15,27.0,27.15,24.51,25.78,25.78,,-0.1079584775086504,24.960000000000004,15.494666666666665,0.11240031741905111,9.970212765957402,6.189605153321422,25.768300000000014
2021-01-19,26.7,27.19,24.75,25.2,25.2,,-0.022498060512024853,25.314285714285713,16.012666666666668,0.10669491651497827,9.723404255319105,6.3330702546691215,25.186999999999998
2021-01-20,24.28,24.28,20.7,22.28,22.28,,-0.1158730158730158,24.69857142857143,16.422,0.11440315051856512,8.48085106382975,6.327897400973049,22.254799999999996
